"year","cfs","cms"
1924,2400,67.960367778857
1925,1900,53.8019578249284
1926,982,27.8071171495156
1927,840,23.7861287225999
1928,1560,44.174239056257
1929,930,26.3346425143071
1930,815,23.0782082249035
1931,660,18.6891011391857
1932,1750,49.5544348387499
1933,1890,53.5187896258499
1934,1640,46.4395846488856
1935,1000,28.3168199078571
1936,1890,53.5187896258499
1937,840,23.7861287225999
1938,3320,94.0118420940855
1939,2000,56.6336398157141
1940,1380,39.0772114728427
1941,1270,35.9623612829785
1942,692,19.5952393762371
1943,1030,29.1663245050928
1944,1790,50.6871076350642
1945,941,26.6461275332935
1946,1820,51.5366122322999
1947,767,21.7190008693264
1948,1010,28.5999881069356
1949,2200,62.2970037972855
1950,1850,52.3861168295356
1951,1290,36.5286976811356
1952,1770,50.120771236907
1953,1560,44.174239056257
1954,874,24.7489005994671
1955,2400,67.960367778857
1956,1680,47.5722574451999
1957,859,24.3241483008492
1958,2300,65.1286857880713
1959,842,23.8427623624156
1960,1660,47.0059210470427
1961,1780,50.4039394359856
1962,1710,48.4217620424356
1963,1500,42.4752298617856
1964,1340,37.9445386765285
1965,948,26.8443452726485
1966,2080,58.8989854083427
1967,2660,75.3227409548998
1968,1790,50.6871076350642
1969,1600,45.3069118525713
1970,1510,42.7583980608642
1971,3920,111.0019340388
1972,1660,47.0059210470427
1973,2690,76.1722455521355
1974,2020,57.1999762138713
1975,5450,154.326668497821
1976,1390,39.3603796719213
1977,1860,52.6692850286141
1978,2720,77.0217501493712
1979,2800,79.2870957419998
1980,1730,48.9880984405927
1981,1490,42.192061662707
1982,1970,55.7841352184784
1983,2470,69.942545172407
1984,2300,65.1286857880713
1985,1400,39.6435478709999
1986,2310,65.4118539871498
1987,2510,71.0752179687212
1988,1380,39.0772114728427
1989,2500,70.7920497696427
1990,1290,36.5286976811356
1991,1970,55.7841352184784
1992,1470,41.6257252645499
1993,2260,63.996012991757
1994,3230,91.4633283023783
1995,1260,35.6791930838999
1996,3230,91.4633283023783
1997,2770,78.4375911447641
1998,1740,49.2712666396713
1999,4510,127.708857784435
2000,1440,40.7762206673142
2001,2010,56.9168080147927
2002,1390,39.3603796719213
2003,1430,40.4930524682356
2004,2840,80.4197685383141
2005,1670,47.2890892461213
2006,2240,63.4296765935998
2007,4050,114.683120626821
2008,1270,35.9623612829785
2009,2570,72.7742271631927
2010,2450,69.3762087742498
2011,5820,164.803891863728
2012,2020,57.1999762138713
2013,2290,64.8455175889927
2014,3710,105.05540185815
2015,1650,46.7227528479642
